,bw,contam_data,infsup_ml,infsup_sm
0,9.0,2.0,21.495810481982378,66.08864656316342
1,9.0,6.0,26.269561568849497,132.3392813598332
2,9.0,10.0,18.335898703770635,376.49134616483195
3,9.0,14.0,23.36081435010973,986.0716092921194
4,9.0,18.0,24.235289951237597,1962.4301649201875
5,9.0,22.0,28.30674817033449,2209.184849437726
6,9.0,26.0,26.748032820722962,1927.3524965036315
7,9.0,30.0,19.735215047927824,1751.4832810292219
8,9.0,34.0,24.56202618981078,1850.0146605766943
9,9.0,38.0,26.945502431553503,1930.2918503801081
10,9.0,42.0,20.537594053142126,1250.988492148457
11,9.0,46.0,19.452761384370152,205.36435397879416
12,9.0,50.0,28.230254942668026,56.753112219140434
13,9.0,54.0,16.99066017581713,70.08008937168881
14,9.0,58.0,28.62591287771566,75.0117581700728
15,9.0,62.0,28.035573892943994,37.479555035270806
16,9.0,66.0,23.17740212613123,17.975227434686758
17,9.0,70.0,22.138541596179806,13.891444972012934
18,9.0,74.0,18.474172842073877,13.639575567388817
19,9.0,78.0,20.852738100945288,17.76190863161453
20,9.0,82.0,30.02121507491961,38.50812813795983
21,9.0,86.0,17.120460791767734,50.07039377834914
22,9.0,90.0,19.708375115502154,66.545120630785
23,9.0,94.0,23.475223513780495,319.9515096138583
24,9.0,98.0,25.251258378336054,305.2914920314869
25,9.0,102.0,14.229826618044195,1244.8157398711512
26,9.0,106.0,23.088286189528667,1446.4397240328224
27,9.0,110.0,23.393981521160782,1338.8152512895679
28,9.0,114.0,25.652452160634265,1201.6912519951702
29,9.0,118.0,20.37402386623991,1114.7239092231573
30,9.0,122.0,30.475793671774483,888.963440907213
31,9.0,126.0,21.226814062575638,438.46723538784715
32,9.0,130.0,29.560217408841293,144.84548412185774
33,9.0,134.0,21.098384670474356,35.821951340153646
34,9.0,138.0,26.8557100157256,5.504141352103886
35,9.0,142.0,23.58695055991002,1.123490184766851
36,9.0,146.0,28.6492312107053,2.273017270832156
37,9.0,150.0,23.853060212031114,2.4324610625569676
38,9.0,154.0,30.65245475310757,2.4502248906969726
39,9.0,158.0,22.291719464902126,2.4518215700084056
40,9.0,162.0,27.25204669784667,2.451937711050789
41,9.0,166.0,19.641850290173178,2.4519445637579906
42,9.0,170.0,27.466217948145882,2.4519448923399523
43,9.0,174.0,29.23289779275558,2.451944905170933
44,9.0,178.0,20.413961001704138,2.451944905588732
45,9.0,182.0,16.584620623749046,2.4519449055958376
46,9.0,186.0,27.166470797192705,2.4519449055958376
47,9.0,190.0,15.672766401748438,2.4519449055958376
48,9.0,194.0,22.352803676033393,2.4519449055958376
49,9.0,198.0,15.984498067646513,2.4519449055958376
50,9.0,202.0,21.99762464858841,2.4519449055958376
51,9.0,206.0,25.844552334006565,2.4519449055958376
52,9.0,210.0,21.05832296400003,2.4519449055958376
53,9.0,214.0,22.211092258213238,2.4519449055958376
54,9.0,218.0,17.064611012004093,2.4519449055958376
55,9.0,222.0,25.177795131879833,2.4519449055958376
56,9.0,226.0,15.542420202756624,2.4519449055958376
57,9.0,230.0,15.677595006431888,2.4519449055958376
58,9.0,234.0,28.834839253483874,2.4519449055958376
59,9.0,238.0,21.58764566320438,2.4519449055958376
60,9.0,242.0,28.01172167826915,2.4519449055958376
61,9.0,246.0,22.77190799528764,2.4519449055958376
62,9.0,250.0,21.983286374398325,2.4519449055958376
63,9.0,254.0,28.487800381293944,2.4519449055958376
64,9.0,258.0,28.42504883567733,2.4519449055958376
65,9.0,262.0,19.533747117240473,2.4519449055958376
66,9.0,266.0,20.733596707960366,2.4519449055958376
67,9.0,270.0,24.67517039492971,2.4519449055958376
68,9.0,274.0,25.87698649975454,2.4519449055958376
69,9.0,278.0,21.525652972825448,2.4519449055958376
70,9.0,282.0,17.330830737171866,2.4519449055958376
71,9.0,286.0,23.561553180899246,2.4519449055958376
72,9.0,290.0,25.13470521008287,2.4519449055958376
73,9.0,294.0,20.512609683613427,2.4519449055958376
74,9.0,298.0,25.961133941231083,2.4519449055958376
75,9.0,302.0,25.27061414813916,2.4519449055958376
76,9.0,306.0,24.899662789178056,2.4519449055958376
77,9.0,310.0,23.962810573708577,2.4519449055958376
78,9.0,314.0,22.921189456012456,2.4519449055958376
79,9.0,318.0,31.575391077702967,2.4519449055958376
80,9.0,322.0,28.254325227497944,2.4519449055958376
81,9.0,326.0,19.056215180805236,2.4519449055958376
82,9.0,330.0,23.920786870651916,2.4519449055958376
83,9.0,334.0,19.29679158296238,2.4519449055958376
84,9.0,338.0,20.33703839973996,2.4519449055958376
85,9.0,342.0,24.33306370163007,2.4519449055958376
86,9.0,346.0,18.483791280926464,2.4519449055958376
87,9.0,350.0,23.992976110366108,2.4519449055958376
88,9.0,354.0,24.90861508660551,2.4519449055958376
89,9.0,358.0,23.102896949258582,2.4519449055958376
90,9.0,362.0,21.201133870757292,2.4519449055958376
91,9.0,366.0,28.323324728088654,2.4519449055958376
92,9.0,370.0,23.714814021576448,2.4519449055958376
93,9.0,374.0,18.98236753691772,2.4519449055958376
94,9.0,378.0,17.513748711221677,2.4519449055958376
95,9.0,382.0,23.04878010233665,2.4519449055958376
96,9.0,386.0,22.011984369459835,2.4519449055958376
97,9.0,390.0,27.487983298920014,2.4519449055958376
98,9.0,394.0,20.45916394905294,2.4519449055958376
99,9.0,398.0,30.978603190539182,2.4519449055958376
100,9.0,402.0,18.82103902588097,2.4519449055958376
101,9.0,406.0,18.465956594845213,2.4519449055958376
